金线草	一串红
望江南	山咖啡
何首乌	山哥
地态	山地态
土茯苓	山地栗
珍珠菜	山地梅
白鼓	山地瓜
蝙蝠藤	山地瓜秧
茅膏菜	山地皮
狗蚁草	山地豆
六方藤	山坡瓜藤
白花丹	山坡苓
桃金娘	山多奶
五色梅	山大丹
山橙	山大哥
野罂粟	山大烟
黄藤	山大王
山猫儿	山大箭兰
秦艽	山大艽
艾纳香	山大艾
莽草	山大茴
绵枣儿	山大蒜
山豆根	山大豆根
山大刀	山大颜
山大刀根	山大颜根
曼陀罗子	山大麻子
天文草	山天文草
何首乌	山奴
山樱桃	山婴桃
山稗子	山小米
赤胞	山屎瓜
牛腿薯	山峨嵋豆
满山红	山崩子
翁波	山川柳
䗪虫	山帐螂
一叶荻	山帚条条
穿山龙	山常山
桃金娘	山态
一叶荻	山扫条
垂盆草	山护花
卷柏	山拳柏
松萝	山挂面
小蜡树	山指甲
黄精	山捣臼
阳桃	山敛
抓地龙	山文竹
莽草	山木蟹
小果蔷薇叶	山木香叶
小果蔷薇根	山木香根
樱桃	山朱樱
李根	山李子根
地骨皮	山杞子根
白杨树皮	山杨皮
中华卷柏	山松
松叶	山松须
三角咪	山板凳
山药	山板薯
臭灵丹	山林丹
天水蚁草	山果花
光叶海桐根	山枝根
山青皮	山枝茶
小石仙桃	山枣
地榆	山枣参
南酸枣	山枣子
地骨皮	山枸杞根
东风橘	山柑子
山乌桕根	山柳
山乌桕根	山柳乌柏
化香树叶	山柳叶
刷把草	山柳叶菜
糯米条	山柳树
柽柳	山柽柳
栀子	山栀
栀子	山栀子
栀子花	山栀花
光叶海桐根	山栀茶根
黑面叶	山树兰
牛心茄子	山样仔
豺皮樟	山桂
赛葵	山桃仔
莲生桂子花	山桃花
菩提树皮	山桑皮
酒饼叶	山桔叶
漆大姑	山桔子
岗梅根	山梅根
酒饼婆	山梗子
瑞香花	山梦花
博落回	山梧桐
菝葜	山梨儿
瑞香根	山棉皮
地桃花	山棋菜
仙茅	山棕皮
涩梨	山楂果
芜荑	山榆仁
芜荑	山榆子
玉铃花	山榛子
苦参	山槐根
金橘	山橘
柚树寄生	山橘寄生
檫树	山檫
大粘药	山毛柳
粘人花	山毛豆花
沙参	山沙参
覆盆子	山泡
山莓	山泡子
泡泡草	山泡泡
橹罟子	山波罗
猕猴桃	山洋桃
马铃薯	山洋芋
红毛草	山海带
崖花海桐叶	山海桐叶
剑叶耳草	山溪黄草
白薇	山烟根子
金挖耳	山烟筒头
花脸细辛	山焦根
土茯苓	山牛
天仙果	山牛奶
肿节风	山牛膝
天香炉	山牡丹
广西狗牙花	山狮子
土瓜狼毒	山狼毒
红毛走马胎	山猪怕
小叶双眼龙	山猪橇
土茯苓	山猪粪
马蹄蕨	山猪肝
玉竹	山玉竹
酸浆	山瑚柳
隔山消	山瓜蒌
无莿根	山甜茶
黄精	山生姜
蘋	山田芝
萆薢	山田薯
穿山甲	山甲
蕨	山甲其
穿山甲	山甲片
绵草薛	山畚箕
萝芙木	山番椒
独脚乌桕	山番薯
鳍蓟	山白蓟
竹芋	山百合
百部	山百根
扶芳藤	山百足
瞿麦	山瞿麦
硫黄	山石住
桃金娘	山稔子
龙舌草	山窝鸡
鸡树条	山竹子
木竹子皮	山竹树皮
野罂粟	山米壳
青天葵	山米子
秀丽野海棠	山糖浆
鹿药	山糜子
赛葵	山索血
蘡薁藤	山红羊
土瓜	山红苕
丹参	山红萝卜
铁扫竹	山红蓝靛
四方麻	山练草
娃娃拳	山络麻
冻绿刺	山绿柴
黎辣根	山绿篱根
马棘	山绿豆
使君子	山羊屎
油头草	山羊梅
乌藨连	山羊臭
岩椒草	山羊草
冷水花	山羊血
酸模	山羊蹄
溪黄草	山羊面
路边姜	山羌活
何首乌	山翁
山蒟	山老叶
四方藤	山老鹬藤
豺皮樟	山肉桂
蛇白鼓	山胡烂
山海螺	山胡萝卜
残槁蔃	山胶木
山芝麻	山脂麻
摇钱树	山膀胱
大叶白纸扇	山膏药
水百合	山芋艿
心叶风毛菊	山芍药
芒萁骨	山芒
狗头芙蓉	山芙蓉
狗头芙蓉	山芙蓉头
千层塔	山芝
羊踯躅根	山芝麻根
金钟茵陈	山芝麻秧
穿根藤	山芡实
白术	山芥
藁本	山芦
猪仔笠	山芪薯
野芫荽	山芫荽
牙痈草	山芬芦
梳篦叶	山花蕨
变豆菜	山芹
澄茄子	山苍子
豆豉姜	山苍子根
水禾麻	山苎
丹参	山苏子根
干檀香	山苏木
和血丹	山苜蓿
双参	山苦参
地桃花	山茄簸
洋金花	山茄花
蓑草	山茅草
麻叶绣球	山茴香
金钟茵陈	山茵陈
赛葵	山茶心
厚皮香	山茶树
黄芩	山茶根
剪夏罗	山茶田
离根香	山茼蒿
蓑草	山草
绵三七	山草果
火炭母草	山荞麦草
马铃薯	山药蛋
红果参	山荸荠
牛大力	山莲藕
野菊花	山菊花
竹鸡	山菌子
柴胡	山菜
菝葜	山菱角
山蒟	山萎
山茱萸	山萸肉
山药	山著
猪仔笠	山葛
蛇葡萄根	山葡萄根
石防风	山葵
假蒟	山蒌
射干	山蒲扇
野靛青	山蓝
白术	山蓟
白辣蓼	山蓼
芒萁骨	山蕨
索骨丹	山藕
棘胸蛙	山蚂蛎
光慈姑	山蛋
棘胸蛙	山蛙
哈士蟆	山蛤
东风菜	山蛤芦
东风菜	山蛤蒿
地蜂子	山蜂子
米团花	山蜂蜜
蜗牛	山蜗
蝈蝈	山蝈蝈
肺形草	山蝴蝶
亚麻	山西胡麻
鸡嗦子果	山覆盆
地梢瓜	山角
饿蚂蝗	山角豆
螺靥草	山豆片草
小雪人参	山豆花根
半春莲	山豆芽
山野豌豆	山豆苗
牛尾菜	山豇豆
杜鹃花	山踯躅
山柰	山辣
毛药	山辣子
单根木	山辣椒树
耳草	山过路蜈蚣
白术	山连
楤根	山通花根
小通草	山通草
九龙藤	山道藤
三叶铜钱草	山酢浆草
珍珠菜	山酸汤秆
五叶壁藤	山里七
山楂	山里果子
山楂	山里红果
山芝麻	山野麻
栝楼	山金匏
金盏菊	山金菊
大沙叶	山铁尺
鹿茸草	山门穹
鸐雉	山雉
毛白薇	山雍菜
红紫珠	山霸王
川芎	山鞠穷
草本威灵仙	山鞭草
韶子	山韶子
水茄	山颠茄
香艾	山风
算盘子	山馒头
何首乌	山首乌
冬凌草	山香草
山白菊	山马兰
珍珠菜	山马尾
萝芙木	山马蹄
婆婆指甲菜	山马齿苋
天文草	山骨皮
石鲫	山鲤子
石鲫	山鲫鱼
石蒜	山鸟毒
绵三七	山鸡头
金樱子	山鸡头子
凤尾草	山鸡尾
鬼箭羽	山鸡条子
淡竹叶	山鸡米
鸡蛋参	山鸡蛋
昆明鸡血藤	山鸡血藤
鹧鸪	山鸪
篦梳剑	山鸭蕨
兰花石参	山鹅儿肠
山芝麻	山麻
头巾草	山麻子
红筷子	山麻条
了哥王	山麻皮
蘘荷花	山麻雀
黎辣根	山黄
黄杨木	山黄杨
功劳木	山黄柏
栀子	山黄栀
黄刺皮	山黄檗
黑点草	山黄瓜
穿破石	山黄箕
紫青藤	山黄芪
穞豆	山黄豆
山野豌豆	山黑豆
走马胎	山鼠
石龙子	山龙子
广香藤	山龙眼藤
秦皮	岑皮
鱼腥草	岑草
奶浆柴胡	岔子菜
山芝麻	岗油麻
桃金娘	岗稔
山稔叶	岗稔叶
山稔根	岗稔根
桃金娘花	岗稔花
山芝麻	岗脂麻
莽草	岗草
赤车使者	岩下青
兰花石参	岩兰花
大叶骨牌草	岩刀
大叶骨牌草	岩剑
象头花	岩半夏
薄叶卷柏	岩卷柏
唢呐花	岩喇叭花
地榆	岩地皮
岩白菜	岩壁菜
小贯众	岩壁青
铁色箭	岩大蒜
千年艾	岩头白
鹧鸪菜	岩头菜
蛎菜	岩头青
佛指甲	岩如意
骨碎补	岩姜
姬蕨	岩姬蕨
地皮消	岩威灵仙
大透骨消	岩子果
尖山橙	岩山枝
黑藁本	岩川芎
大叶骨牌草	岩带
石刷把	岩扫帚
石胆草	岩指甲
五香血藤	岩枇杷
黑藁本	岩林
黄茶根	岩果紫
地柏枝	岩柏
地柏枝	岩柏枝
地柏枝	岩柏草
黑壳楠	岩柴
臭梧桐子	岩桐子
长瓣马铃苣苔	岩桐草
滇地黄连	岩桧
竹吐椒	岩椒
公鱼藤	岩浆草
翅柄铁线蕨	岩浮萍
野海椒	岩海椒
石枣子	岩火炮
鱼鳖金星	岩瓜子草
毛女贞	岩白蜡
大青盐	岩盐
小接筋草	岩石松
刮筋板	岩石榴
硒砂	岩硒砂
豆瓣绿	岩筋草
大虎耳草	岩耳巴
岩黄连	岩胡
海风藤	岩胡椒
瓦松	岩脂
开口箭	岩芪
大叶花椒	岩花椒
石吊兰	岩茶
石上开花	岩莲花
光石韦	岩莲鸡尾
鸭舌草	岩菜
翠云草	岩萍
鞭叶铁线蕨	岩虱子
白毛蛇	岩蚕
鹧鸪菜	岩衣
岩笋	岩角
一把伞	岩谷伞
小石仙桃	岩豆
豆瓣绿	岩豆瓣
昆明鸡血藤	岩豆藤
光头前胡	岩防风
滴水珠	岩隙子
黄龙藤	岩青叶
扶芳藤	岩青藤
通经草	岩飞草
粉背蕨	岩飞蛾
石柑子	岩香
铁筷子	岩马桑根
婆婆指甲菜	岩马齿苋
水龙骨	岩鸡尾
牛奶子	岩麻子
红芪	岩黄芪
灯笼花	岩龙香
当归	岷当归
羊齿天冬	峡州百部
红花雪莲花	峨山雪莲花
峨眉半边莲	峨眉莲座蕨
山大黄	峪黄
食盐	峭
轻粉	峭粉
骆驼脂	峰子油
蚱蝉	崂
水白蜡	崂山茶
网络鸡血藤	崖儿藤
文冠果	崖木瓜
广枝仁	崖花子
崖花海桐叶	崖花子叶
穿根藤	崧根藤
积雪草	崩口碗
积雪草	崩大碗
过塘蛇	崩草
五味子	嵘
川乌头	川乌
乌头附子尖	川乌头尖
乌头附子尖	川乌尖
土党参	川人参
大黄	川军
苦参	川参
紫金龙	川山七
穿山甲	川山甲
续断	川断
厚朴	川朴
椒目	川椒目
木槿子	川槿子
木槿皮	川槿皮
大酸浆草	川滇酸模
独活	川独活
老君须	川白薇
穿破石	川破石
靡芜	川芎苗
金针菜	川草花
萆薢	川草薛
水蓼	川蓼
水红花子	川蓼子
藿香	川藿香
大叶青木香	川防己
吹云草	川风
小叶双眼龙	巡山虎
活血丹	巡骨风
麻蕡	巢实
大巢菜	巢菜
钩栗	巢钩子
巧妇鸟	工爵
公鱼	工鱼
榼藤	左右扭
牡蛎	左壳
秦艽	左宁根
秦艽	左扭
秦艽	左秦艽
海金沙草	左篆藤
忍冬藤	左缠藤
海金沙草	左转藤
海金沙	左转藤灰
牡蛎	左顾牡蛎
竻慈姑	巧南
抱树莲	巧根藤
瞿麦	巨句麦
乌鸦	巨喙乌
螳螂	巨斧
黑脂麻	巨胜
黑脂麻	巨胜子
胡麻叶	巨胜苗
雷蘑	巨陡头
溲疏	巨骨
独活	巴东独活
清酒缸	巴人草
枇杷叶	巴叶
巴戟天	巴吉天
金铁锁	巴地蜈蚣
毛大丁草	巴地香
黎豆	巴山虎豆
南藤	巴岩香
地桃花	巴巴叶
大沙叶	巴弗他树
巴戟天	巴戟肉
独一味	巴拉努努
拔毒散	巴掌叶
落新妇	巴日斯敖鲁素
开口箭	巴林麻
巴豆	巴果
花椒	巴椒
巴豆	巴菽
巴豆壳	巴豆皮
蜡梅花	巴豆花
巴旦杏仁	巴达杏仁
余甘子	巷摩勒
破布叶	布渣叶
丝瓜	布瓜
薅田藨	布田菠草
黄荆子	布荆子
牡蒿	布菜
铁苋	布袋口
地柏枝	帅石草
（蒒）实	师草实
螺蛳	师螺
豨莶	希仙
石灰	希灰
树头菜	帕贡
地肤子	帚菜子
苏合香	帝油流
磁石	帝流浆
苏合香	帝膏
满江红	带子薄
带鱼	带柳
石莲子	带皮莲子
苦草	带脚小草
消毒药	带血犁头草
水葱	席子草
磁石	席流浆
石龙刍	席草
篑草	席草仔
毛药	帮梨子
山白菊	常年青
苍耳	常思
苍耳	常思菜
紫青藤	常青藤
鲜黄连	常黄连
磨盘根	帽仔盾头
磨盘草	帽子盾
磨盘草	帽笼子
小升麻	帽辫七
无名异	干子
黑鹅脚板	干小黑药
干岩矸	干岩堇
当归	干归
大枣	干枣
柿饼	干柿
碧桃干	干桃
钓樟根皮	干櫃木
铁箭矮陀	干水皂角
蔊菜	干油菜
瓦松	干滴落
干地黄	干生地
鹦鹉	干皋
炉甘石	干石
干饧糟	干糖糟
崖棕根	干经草
小白花苏	干草
葛根	干葛
甘蔗	干蔗
大枣	干赤枣
淫羊藿	干雄筋
石碱	干饼药
干檀香	干香树
淫羊藿	干鸡筋
灵砂	平口砂
水晶花	平头细辛
苹果	平波
鲂鱼	平胸鳊
侧耳	平菇
仙人掌	平虑草
鲳鱼	平鱼
梳篦叶	年年松
半枝莲	并头草
地柏枝	并草
鬼羽箭	幼克草
獐耳细辛	幼肺三七
兰花	幽兰
兰花根	幽兰根
柿寄生	广丁香寄生
峨参	广三七
西洋参	广东人参
樟柳头	广东商陆
木兰寄生	广东寄生
阴香皮	广东桂皮
海芋	广东狼毒
广金钱草	广东金钱草
龙胆地丁	广地丁
红大戟	广大戟
赤胫散	广川草
血水草根	广扁线
木香	广木香
莪术	广术
南酸枣	广枣
甜橙	广柑
橙皮	广柑皮
甜橙	广橘
陈皮	广橘皮
铁罗伞	广檀木
麦瓶草	广皮菜
番石榴干	广石榴冬桃
苦石莲	广石莲子
黄明胶	广胶
莪术	广茂
白花鹅掌柴	广西鹅掌柴
土大黄	广角
夏枯草	广谷草
山豆根	广豆根
柑皮	广陈皮
灵香草	广零陵香
胜红蓟	广马草
蛴螬	应条
铧头草	应菜黄
无花果	底珍
余甘子	庵摩勒
余甘子	庵摩落迦果
杧果	庵罗果
大丁草	廉草
烟草	延命草
玉	延妇
蕨麻	延寿果
磁石	延年沙
延胡索	延胡
东当归	延边当归
福参	建人参
福参	建参
胡荽	建荽菜
毛叶算盘子	廿条牛换不着
万年青	开口剑
大金香炉	开口枣
野鸦椿子	开口椒
开口箭	开喉剑
翠云草	开屏凤毛
母草	开怀草
滇瑞香	开花矮陀陀
金荞麦	开金锁
吊岩风	异叶地锦
血叶兰	异色血叶兰
淫羊藿	弃杖草
蜣螂	弄丸
虎尾兰	弓弦麻
公鱼	弓鱼
地龙	引无
水豆瓣	引水草
狼杷草	引钱包
仰天钟	张天刚
仰天钟	张天师
仰天钟	张天缸
草豆蔻	弯子
曲花紫堇	弯花紫堇
魔芋	弱头
百合	强瞿
狗脊	强膂
通骨消根	强过头
臭灵丹	归经草
鲥鱼	当
桃金娘	当梨子
山稔根	当梨根
鸭儿芹	当田
车前草	当道
麝香	当门子
商陆	当陆
入地金牛	彘椒
天名精	彘颅
阿魏	形虞
云芝	彩云革盖菌
石龙芮	彭根
薜荔	彭蜂藤
榧子	彼子
金钟茵陈	徐毒草
玫瑰花	徘徊花
罂粟壳	御米壳
罂粟	御米子
落葵	御菜
玉蜀黍	御麦
藁本	微茎
开口箭	心不干
滴水珠	心叶半夏
九眼独活	心叶大眼独活
水百合	心叶百合
大虎耳草	心叶蒙自虎耳草
银朱	心红
麝香	心结香
川谷根	必提珠根
金银花	忍冬花
金银花露	忍冬花露
忍冬藤	忍寒草
沙参	志取
五蕊寄生	忙果木寄生
五蕊寄生	忙果树寄生
牛筋草	忝仔草
橄榄	忠果
梨	快果
勒鱼	快鱼
瓜子藤	念珠藤
啤酒花	忽布
鹧鸪	怀南
牛膝	怀夕
山药	怀山药
牛膝	怀牛膝
地核桃	怀胎草
刷把草根	怀胎草根
牛膝	怀膝
苜蓿	怀风
含羞草	怕丑草
紫薇皮	怕痒树树皮
紫薇皮	怕痒树根皮
紫薇花	怕痒花
含羞草	怕羞草
杜仲	思仙
杜仲	思仲
扛板归	急改索
地龙	怨蟺
杜鹃	怨鸟
鸱鹤	怪鸱
常山	恒山
淡竹根	恒生骨
莙荙菜	恭菜
莙荙子	恭菜子
牛蒡子	恶实
牛蒡根	恶实根
砂漏芦	恶背火草
大蓟	恶鸡婆
皂荚	悬刀
络石藤	悬石
石斛	悬竹
石龙刍	悬莞
石龙刍	悬菟
山莓	悬钩子
山莓根	悬钩根
茜草	情草
腹水草	惊天雷
闹羊花	惊羊花
兔毛蒿	惊草
追风伞	惊风伞
鸭嘴癀	惊风榴
发痧藤	惊风红
蜻蜓	惚
鸟不企	惚木
含羞草	惧内草
糯米藤	意心藤
盲肠草	感冒草
含羞草	感应草
薏苡仁	感米
慈姑叶	慈姑苗
磁石	慈石
慈竹沥	慈竹油
慈竹箨	慈竹笋壳
细香葱	慈葱
莳萝子	慈谋勒
海鳗	慈鳗细
慈乌	慈鸦
景天	慎火
景天	慎火草
紫萁贯众	慕
灯蛾	慕光
索骨丹	慕荷
紫萁贯众	慕蕨
藜芦	憨葱
韭菜	懒人菜
黄精	懒姜
鮠鱼	懒鱼
小茴香	懷香
茴香虫	懷香虫
黄精	戊已芝
大青盐	戌盐
大地棕根	戎州仙茅
硒砂	戎硒
玉蜀黍	戎菽
磁石	戏铁石
景天	戒火
鱼腥草	戟
戟叶石韦	戟叶瓦韦
巴戟天	戟天
夜关门	截叶铁扫帚
谷精草	戴星草
雀瓮	戴毛虫窠
黄芪	戴糁
桔梗	房图
红旱莲	房心草
辛夷	房木
奴柘刺	房着刺
食盐	扁
过江龙	扁叶石松
清酒缸	扁子草
过江龙	扁心草
罗裙带根	扁担七
罗裙带	扁担叶
秋葡萄茎	扁担藤
血风藤	扁果藤
鸢尾	扁柄草
侧柏叶	扁柏叶
牛扁	扁毒
牛扁	扁特
竹节蓼	扁竹花
树舌	扁芝
贯众	扁苻
山马蝗	扁草子
韭菜	扁菜
瓠子	扁蒲
蒲种壳	扁蒲壳
小篇蓄	扁蓄
蜘蛛	扁蛛
扁豆衣	扁豆皮
扁藤	扁骨风
榼藤	扁龙
兖州卷柏	扇卷柏
独叶一枝花	扇叶舌喙兰
猪髻草	扇叶铁线蕨
田葱	扇合草
山药	扇子薯
扇子七	扇子还阳
干贝	扇贝柱
鷃	扈
手掌参	手儿参
金环蛇	手巾蛇
篦梳剑	手指甲
鸭舌鱼鳖	手指背
人指甲	手爪甲
篦梳剑	手甲草
肉豆蔻	扎地
手莨	扑地棕
地锦草	扑地锦
毛大丁草	扑地香
灯蛾	扑灯蛾
番石榴干	扒仔
牛大力	扒山虎
益母草	扒骨风
天泡子	打卜草
车前草	打官司草
毛鸡屎藤	打屁藤
酸浆	打朴草
绛梨木子	打枪子
梅花刺果	打枪果
桂竹糖芥	打水水花
梅花刺果	打油果
大火草根	打火草
野西瓜苗	打瓜花
午时花	打砍不死
面根藤	打破碗
盒子草	打破碗子藤
大金香炉	打破碗花树
猫眼草	打碗棵
梦花	打结花
乌豆根	打锣不响
酸模	打锣锤
天泡子	打额泡
单头紫菀	打风草
小南木香	打鼓藤
蛞蝓	托胎虫
朱砂藤	托腰散
独行千里	扣扭子
白豆蔻	扣米
接骨木	扦扦活
岗松	扫卡木
地肤苗	扫帚苗
二色补血草	扫帚草
岗松	扫把枝
岗松根	扫把枝根
海金沙草	扫把藤
胡枝子	扫条
轻粉	扫盆
盘龙参	扭兰
红三七	扭子七
雄黄兰	扭子药
火索麻	扭索麻
榼藤	扭骨风
榼藤	扭龙
牛大力	扮山虎
杜仲	扯丝皮
珍珠菜	扯根菜
合掌消	扶地龙
田旋花	扶田秧
狗脊	扶盖
田旋花	扶秧苗
狗脊	扶筋
落葵	承露
马扫帚花	把天门花
橡实	抒斗
老鼠瓜	抗旱草
鱼腥草	折耳根
水麻	折骨藤
川芎	抚芎
景天	护火
荠菜	护生草
羌活	护羌使者
景天	护花草
野洋参	报春花根
苦地胆	披地挂
莽草根	披针叶茴香根
罗布麻	披针叶茶叶花
薜荔	抬络藤
地不容	抱母鸡
合掌消	抱茎白前
山蒟	抱蛇
洋金花	押不芦
水红木叶	抽刀红
六方藤	抽筋藤
地白草	抽脓拔
肉根还阳参	抽葶还阳参
烟草	担不归
猪笼草	担水桶
石血	拉局肾
蝼蛄	拉拉古
蝼蛄	拉拉狗
茜草	拉拉秧子根
田旋花	拉拉菀
藿香	拉拉香
罗汉果	拉汉果
穿破石	拉牛入石
白薇	拉瓜瓢
菠菜	拉筋菜
大叶骨牌草	拉舌狗
黑皮跌打	拉藤公
蝼蛄	拉蛄
雪里开	拐子药
南方露珠草	拐子菜
银线草	拐拐细辛
枳椇子	拐枣
枳椇木皮	拐枣树皮
枳椇根	拐枣根
水龙骨	拐枣金钗
兰花参	拐棍参
岩冬菜	拐脚草
千金子	拒冬子
千金子	拒冬实
螳螂	拒斧
芙蓉叶	拒霜叶
芙蓉花	拒霜花
五虎下西川	拓金盘
乌鼓莓	拔
缬草	拔地麻
杯苋	拔子弹草
青箭	拔弹藤
石筋草	拔毒草
景天	拔火
黄花母	拔脓消
龟甲	拖泥板
娃娃拳	拗山皮
夹竹桃	拘孥儿
皋芦	拘罗
夹竹桃	拘那夷
安息香	拙贝罗香
紫藤	招豆藤
天文草	拟千日菊
石龙刍根	拟灯心草根
蛇附子	拦山虎
六方藤	拦河藤
扛板归	拦蛇风
翠云草	拦路枝
蝤蛑	拨棹子
扛板归	括耙草
韭叶芸香草	括花草
五虎下西川	括金板
乌桕子	拱仔
草血竭	拱腰老
黄鼠肉	拱鼠
老鸦柿	拳李
棕榈皮	拼榈木皮
磁石	拾针
八月札	拿子
番石榴果	拿炮果
黎辣根	拿药
清酒缸	拿身草
吊兰	挂兰
景天	挂壁青
南蛇藤	挂廓鞭
钩藤	挂钩藤
牛尾蒿	指叶蒿
青箱	指天笔
凤仙花	指甲桃花
凤仙花	指甲花
凤仙叶	指甲草
墙草根	指甲薯
了哥王	指皮麻
娃娃拳	挈楹
谷精草	挖耳朵草
刀豆	挟剑豆
萤火	挟火
巴豆树根	挡蛇剑
无花果	挣桃
磨盘草	挨砻地堵
吊岩风	捆仙藤
铁箍散	捆天绳
腐婢	捏捏糊
水红木叶	捏面樟
肉根还阳参	捕地风
泽兰	捕斗蛇草
茅膏菜	捕蝇草
萱藻	捞子筋
珍珠露水草	换肺草
柔毛水杨梅	换骨丹
扶芳藤	换骨筋
荭草	捣花
倒扣草	掇鼻草
昆明山海棠	掉毛草
手掌参	掌参
金鸡尾	掌叶凤尾
鸭脚罗伞	掌叶木
陆英	掌落根
白毛藤	排风
鬼目	排风子
白毛藤根	排风藤根
牛白藤	排骨连
大叶骨牌草	掘不尽
绒毛桢楠	掠头柴
苯菜	接余
寄生黄	接木怀胎
鸭舌草	接水葱
笔筒草	接管草
问荆	接续草
甘蔗	接肠草
续断	接骨
燕麦灵	接骨一枝箭
水冬瓜叶	接骨丹叶
水冬瓜根	接骨丹根
水冬瓜花	接骨丹花
蔓赤车	接骨仙子
菜豆树	接骨凉伞
木贼	接骨叶
接骨树皮	接骨树
水苦荬	接骨桃
大接骨丹	接骨草树
狗屎花根	接骨草根
肿节风	接骨莲
驳骨草	接骨蕨
肿节风	接骨金粟兰
接骨木	接骨风
蜣螂	推丸
蜣螂	推屎虫
蜣螂	推车客
蜣螂	推车虫
栗子	掩子
紫花络石	掰果
水红木叶	揉白叶
铁	揉铁
铁包金	提云草
知母	提母
地白草	提脓草
插田泡果	插田蔗
尖尾风	握手风
问荆	搂接草
附地菜	搓不死
蛇附子	搜夹风
麒麟尾	搭壁麒麟
虎耳草	搽耳草
路路通	摄子
磁石	摄石
夹蛇龟	摄龟
墓头回	摆子草
响铃豆	摆子药
鸢根	摇痕七
徐长卿	摇竹消
小巢菜	摇车
铁钉菜	摇鼓铃
百部还魂	摘耳荷
益智仁	摘节子
益母草	摧
乳香	摩勒香
百合	摩罗
水红木叶	摸翻脸
擘蓝	撇蓝
大地棕根	撑船草
唢呐花	撒拉花
番红花	撒法郎
九仙草	撒花一颗针
番红花	撒馥兰
薅田藨	播田草
铁苋	撮斗撮金珠
倒扣草	撮鼻草
栗子	撰子
蜀葵花	擀杖花
鸡蛋花	擂捶花
大叶金花草	擎天蕨
锡叶藤	擦锡藤
莼	攀
紫金标	攀倒甑
麒麟尾	攀地蜈蚣
木棉花	攀枝花
扶芳藤	攀缘丝棉木
海金沙草	攀谷藤
狼杷草	攫
栀子	支子
丁香	支解香
黄连	支连
萤火	放光
淫羊藿	放杖草
羊角藤	放筋藤
木蝴蝶	故纸
蒲葵叶	故蒲扇
鮸鱼	敏子
菠菜	敏菜
鮸鱼	敏鱼
龙葵	救儿草
赤阳子	救兵粮
赤阳子	救军粮
萤火	救火
黄精	救穷
大巢菜	救荒野豌豆
蛴螬	教齐
鹅不食草	散星草
山柏	散柏枝
石灰	散灰
水珠草	散积血
蓝猪耳	散胆草
血当归	散血七
阴地蕨	散血叶
白背三七	散血姜
红天葵	散血子
陆英	散血椒
剪红纱花	散血沙
天葵子	散血珠
石蝉草	散血胆
赤胫散	散血连
六方藤	散血龙
小叶三点金草	散风散
破骨风	散骨藤
荩草	整草
黄毛耳草	敷地两耳草
无花果	文仙果
文冠果	文冠木
文冠果	文冠花
芙蓉花	文官花
沙参	文希
柚	文旦
谷精草	文星草
莪术	文术
林檎	文林郎果
桑棋子	文武实
寄生黄	文王一支笔
玳瑁	文甲
玛瑙	文石
白鹇	文翰
沙参	文虎
五倍子	文蛤
盐肤木根	文蛤根
紫贝	文贝
天蓬草	文集草
鳢鱼	文鱼
血党	斑叶朱砂根
黄金线	斑叶蔓龙胆
虎杖	斑庄根
虎杖	斑杖
木棉花	斑枝花
刘寄奴	斑枣子
虎杖	斑根
胡颓子	斑楂
斑蝥	斑毛
构皮麻	斑沙藤
斑鸠	斑焦
斑蝥	斑猫
广西过路黄	斑筒花
斑蝥	斑菌
红辣蓼	斑蕉草
斑蝥	斑蚝
花蜘蛛	斑蜘蛛
地锦草	斑雀草
广东土牛膝	斑骨相思
碗花草根	斑鸠嘴根
川层草	斑鸠尾
掐不齐	斑鸠花
小叶三点金草	斑鸠鼻
臭黄荆	斑鹊子
斑鸠	斑鹤
鹿茸	斑龙珠
虎杖	斑龙紫
广西过路黄	斗笠花
血水草	斗篷草
月季花	斗雪红
蟋蟀	斗鸡
鸡城	斗鸡菇
徐长卿	料刁竹
徐长卿	料吊
穞豆	料豆
丁癸草	斜对叶
竹芋	斜鹅
锦鸡儿	斧头花
蜈蚣草	斩草剑
萝藦子	斫合子
螳螂	斫父
螳螂	斫螂
白花藤	断肠叶
武靴藤	断肠苦蔓
大茶药根	断肠草根
水竹叶	断节草
胃友	断虫草
岩姜七	断骨粘
甜橙	新会橙
柑皮	新会皮
一枝蒿	新疆一枝蒿
自然铜	方块铜
石龙刍	方宾
山藿香	方枝苦草
四方藤	方根藤
莸	方梗金钱草
蟹	方海
青蒿	方溃
长石	方石
水蓑衣	方箭草
扛板归	方胜板
六方藤	方茎宽筋藤
水老虎	方茎水芙蓉
獐牙菜	方茎牙痛草
岩藿香	方茎犁头草
白沙虫药	方茎紫苏
半枝莲	方草儿
四方藤	方藤
蟹	方蟹
蚌泪	方诸水
苍耳	施
乌药	旁其
白蒿	旁勃
刺蒺藜	旁通
檀香	旃檀
番泻叶	旃那叶
旋花根	旋菖草根
金沸草	旋覆梗
水朝阳根	旋覆花根
益母草	旋风草
凤尾草	旋鸡头
大叶骨牌草	旋鸡尾
小通草	旌节花
胡颓子	旗杞
蔓胡颓子	旗糊
九牛造茎叶	无
没食子	无余子
痢止蒿	无名草
油头草	无喙齿冠草
宽筋藤	无地根
宽筋藤	无地生须
无爷藤	无头藤
水蜈蚣	无头香附
芜荑	无姑
无爷藤	无娘藤
菟丝子	无娘藤米米
鼠曲草	无心
木贼	无心草
半夏	无心菜根
柚树寄生	无患子寄生
无患树强	无患子根
